Stage,Team 1,FT,Team 2
A,Club América,2-0,Club Puebla
A,Club León,03-Feb,Atlético San Luis
A,Querétaro FC,3-0,Pumas UNAM
A,Deportivo Toluca FC,2-0,CF Pachuca
A,FC Juárez,01-Feb,CD Guadalajara Chivas
A,Santos Laguna,1-0,Querétaro FC
A,Tiburones Rojos Veracruz,1-0,Club Puebla
A,Atlético San Luis,0-1,Club América
A,Pumas UNAM,05-Jan,Club Atlas
A,CF Pachuca,02-Mar,CF Monterrey
A,CD Guadalajara Chivas,0-1,Club Tijuana
A,Tigres UANL,1-0,Deportivo Toluca FC
A,Cruz Azul,1-0,Club León
A,Monarcas Morelia,06-Jan,FC Juárez
A,Club Puebla,01-Jan,Pumas UNAM
A,Club Atlas,01-Feb,Atlético San Luis
A,Querétaro FC,0-0,Tigres UANL
A,Club América,01-Feb,Santos Laguna
A,Club Necaxa,01-Feb,CF Pachuca
A,CF Monterrey,01-Jan,Tiburones Rojos Veracruz
A,Deportivo Toluca FC,01-Mar,CD Guadalajara Chivas
A,Club León,01-Jan,Monarcas Morelia
A,FC Juárez,3-0,Club Tijuana
A,Monarcas Morelia,03-Feb,Club Puebla
A,Tiburones Rojos Veracruz,0-5,Club América
A,Club Tijuana,0-4,CF Monterrey
A,Atlético San Luis,0-2,Club Necaxa
A,Club León,4-0,Deportivo Toluca FC
A,CD Guadalajara Chivas,03-Feb,Querétaro FC
A,Tigres UANL,0-0,CF Pachuca
A,Pumas UNAM,01-Jan,FC Juárez
A,Santos Laguna,03-Jan,Cruz Azul
A,Club Puebla,3-0,Club Necaxa
A,Club Tijuana,01-Feb,Club León
A,Cruz Azul,03-Jan,Atlético San Luis
A,Querétaro FC,03-Jan,Monarcas Morelia
A,CD Guadalajara Chivas,03-Jan,Tiburones Rojos Veracruz
A,CF Pachuca,2-0,Pumas UNAM
A,CF Monterrey,2-0,Club Atlas
A,FC Juárez,01-Feb,Tigres UANL
A,Deportivo Toluca FC,02-Feb,Santos Laguna
B,Monarcas Morelia,03-Mar,Club León
B,Club Necaxa,3-0,Querétaro FC
B,Club América,01-Feb,Tigres UANL
B,CF Monterrey,05-Feb,Santos Laguna
B,Querétaro FC,02-Mar,Club Necaxa
B,Club León,01-Feb,Monarcas Morelia
B,Santos Laguna,01-Jan,CF Monterrey
B,Tigres UANL,02-Apr,Club América
B,CF Monterrey,02-Jan,Club Necaxa
B,Club Necaxa,0-1,CF Monterrey
B,Monarcas Morelia,0-2,Club América
B,Club América,2-0,Monarcas Morelia
B,CF Monterrey,02-Jan,Club América
B,Club América,02-Jan,CF Monterrey
B,Monarcas Morelia,0-1,Deportivo Toluca FC
B,Club Tijuana,02-Jan,Santos Laguna
B,Cruz Azul,01-Feb,Club Atlas
B,CD Guadalajara Chivas,2-0,FC Juárez
B,Club León,03-Jan,Querétaro FC
B,Tigres UANL,0-0,Atlético San Luis
B,Pumas UNAM,02-Jan,CF Pachuca
B,FC Juárez,04-Apr,Pumas UNAM
B,Club Atlas,0-1,Club Puebla
B,Atlético San Luis,02-Jan,Cruz Azul
B,CF Pachuca,0-0,CD Guadalajara Chivas
B,CF Monterrey,02-Feb,Monarcas Morelia
B,Club América,1-0,Tigres UANL
B,Santos Laguna,03-Feb,Club León
B,Querétaro FC,3-0,Club Tijuana
B,Deportivo Toluca FC,02-Mar,Club Necaxa
B,Club Puebla,0-1,Querétaro FC
B,Club Tijuana,0-0,Club América
B,CD Guadalajara Chivas,02-Feb,Deportivo Toluca FC
B,Club León,3-0,CF Pachuca
B,Tigres UANL,02-Jan,Club Atlas
B,Cruz Azul,3-0,Santos Laguna
B,FC Juárez,3-0,Monarcas Morelia
B,Pumas UNAM,1-0,CF Monterrey
B,Club Necaxa,01-Jan,Atlético San Luis
B,Club Atlas,02-Jan,Club Tijuana
B,Atlético San Luis,02-Feb,CD Guadalajara Chivas
B,Santos Laguna,01-Jan,Pumas UNAM
B,Club América,01-Mar,FC Juárez
B,Monarcas Morelia,01-Feb,Club León
B,CF Monterrey,01-Feb,Querétaro FC
B,CF Pachuca,2-0,Tigres UANL
B,Club Necaxa,2-0,Club Puebla
B,Deportivo Toluca FC,03-Mar,Cruz Azul
B,Club Puebla,0-1,Club América
B,Club Necaxa,02-Feb,CF Monterrey
B,Club Atlas,01-Mar,Monarcas Morelia
B,Club Puebla,02-Feb,Santos Laguna
B,Club Tijuana,01-Jan,Deportivo Toluca FC
B,Club León,03-Jan,CF Monterrey
B,Tigres UANL,3-0,CD Guadalajara Chivas
B,Cruz Azul,03-Jan,CF Pachuca
B,Pumas UNAM,4-0,Atlético San Luis
B,Querétaro FC,01-Feb,Club América
B,FC Juárez,02-Jan,Club Necaxa
B,Atlético San Luis,03-Jan,Club León
B,Monarcas Morelia,01-Jan,Club Tijuana
B,CF Pachuca,1-0,Club Puebla
B,CD Guadalajara Chivas,01-Feb,Cruz Azul
B,Club América,2-0,Club Atlas
B,CF Monterrey,01-Jan,FC Juárez
B,Deportivo Toluca FC,02-Mar,Pumas UNAM
B,Club Necaxa,02-Mar,Querétaro FC
B,Santos Laguna,02-Jan,Tigres UANL
B,Club Atlas,0-2,CF Pachuca
B,Club Tijuana,0-1,CD Guadalajara Chivas
B,Club Puebla,2-0,Deportivo Toluca FC
B,CF Monterrey,0-1,Club América
B,Cruz Azul,02-Jan,Tigres UANL
B,Club León,02-Jan,Club Necaxa
B,FC Juárez,01-Feb,Santos Laguna
B,Querétaro FC,0-1,Atlético San Luis
B,Pumas UNAM,01-Feb,Monarcas Morelia
B,Atlético San Luis,0-3,FC Juárez
B,Deportivo Toluca FC,2-0,CF Monterrey
