Round,Team 1,FT,Team 2
1,Club Puebla,01-Mar,Club Tijuana
1,Club Atlas,1-0,FC Juárez
1,CF Pachuca,01-Mar,Club León
1,Atlético San Luis,0-2,Pumas UNAM
1,Club América,04-Feb,CF Monterrey
1,Tigres UANL,04-Feb,Monarcas Morelia
1,Club Necaxa,0-0,Cruz Azul
1,Deportivo Toluca FC,0-2,Querétaro FC
1,Santos Laguna,3-0,CD Guadalajara Chivas
1,Monarcas Morelia,0-1,Club Atlas
1,Tiburones Rojos Veracruz,03-Mar,CF Pachuca
1,Club León,0-0,Club América
1,Club Tijuana,01-Jan,Querétaro FC
1,Cruz Azul,01-Jan,Deportivo Toluca FC
1,Pumas UNAM,2-0,Club Necaxa
1,Atlético San Luis,1-0,CF Monterrey
1,CD Guadalajara Chivas,2-0,Tigres UANL
1,Santos Laguna,3-0,FC Juárez
1,Club Puebla,01-Jan,CD Guadalajara Chivas
1,Club Atlas,01-Feb,Santos Laguna
1,Querétaro FC,3-0,Cruz Azul
1,Club América,03-Jan,Club Tijuana
1,CF Monterrey,03-Feb,Club León
1,Club Necaxa,7-0,Tiburones Rojos Veracruz
1,CF Pachuca,01-Feb,Monarcas Morelia
1,Pumas UNAM,0-1,Tigres UANL
1,FC Juárez,2-0,Deportivo Toluca FC
1,Monarcas Morelia,0-1,CF Monterrey
1,Tiburones Rojos Veracruz,01-Feb,Club Atlas
1,Club Tijuana,1-0,Pumas UNAM
1,CD Guadalajara Chivas,3-0,Atlético San Luis
1,Cruz Azul,2-0,FC Juárez
1,Tigres UANL,03-Jan,Club Necaxa
1,Querétaro FC,02-Jan,CF Pachuca
1,Santos Laguna,04-Jan,Club Puebla
1,Deportivo Toluca FC,0-1,Club América
1,Club Puebla,0-4,CF Pachuca
1,Club Atlas,01-Mar,Cruz Azul
1,Atlético San Luis,01-Jan,Tigres UANL
1,Club León,04-Mar,CD Guadalajara Chivas
1,CF Monterrey,2-0,Deportivo Toluca FC
1,Club América,1-0,Monarcas Morelia
1,Pumas UNAM,2-0,Tiburones Rojos Veracruz
1,FC Juárez,0-2,Querétaro FC
1,Club Necaxa,3-0,Santos Laguna
1,Tiburones Rojos Veracruz,01-Feb,Atlético San Luis
